text,label
Es passiert nicht oft/comma  dass eine deutsche Nachrichtenseite eine Recherche veröffentlicht/comma  die dann in Russland wie eine Bombe einschlägt. „Abendlich Hamburg“ ist das vor Kurzem gelungen/comma  mit einem vermeintlichen Enthüllungsartikel über Alexej Nawalny. Inzwischen ist klar: Vor einem liegt ein Beispiel für russische Desinformation. Doch die Sache ist größer/comma  umfassender. Das macht eine Recherche von WELT und netzpolitik.org jetzt deutlich.Zusammen haben sie die Website analysiert/comma  Hinweise auf Hinterleute entdeckt/comma  wiederkehrende Muster ausgemacht – und dann: weitere solcher Internetseiten gefunden. So tritt ein ganzes Netzwerk vermeintlicher Nachrichtenportale zum Vorschein/comma  die sich seriös klingende Namen geben/comma  deren vermeintliche Journalisten aber gar nicht existieren. Sie alle sind in Wirklichkeit aufgeblasene Fake-News-Schleudern.Die Spuren führen in ostukrainische Separatistengebiete und zu einem russischsprachigen Propaganda-Kanal mit Verbindungen zu russischen Nachrichtendiensten.,3
Der SPD-Politiker plädierte zumindest aber für eine »zehntägige Quarantäne mit erstem Test nach fünf Tagen für Briten in allen EU-Ländern«. Es könne nicht sein/comma  dass »in der letzten Phase vor der Impfung noch ganz Europa im Urlaub der Delta-Variante aus England ausgesetzt wird«.In Großbritannien grassiert trotz einer erfolgreich voranschreitenden Impfkampagne die besonders ansteckende Delta-Variante. Die erstmals in Indien nachgewiesene Variante wird könnte 40 bis 60 Prozent ansteckender sein/comma  als die zuerst in Großbritannien identifizierte Alpha-Variante/comma  die sich seit Jahresbeginn auch in Deutschland durchgesetzt hatte.,2
"Die Jungen Liberalen begründen ihre Forderungen vor allem mit der Belastung junger Menschen in der Corona-Krise. bild: imago images / manuel geisserExklusivVor Parteitag: FDP-Jugend will Offensive für psychische Gesundheit ins Wahlprogramm bringenMehr «Politik»Die FDP-Jugendorganisation Junge Liberale (Julis) fordert ein Maßnahmenpaket für die Stärkung der psychischen Gesundheit gerade junger Menschen. Die Forderungen der Julis zielen zum einen darauf ab/comma  dass das Angebot an Psychotherapie erhöht wird – und zum anderen darauf/comma  dass Menschen mit psychischen Problemen schnellere und bessere Unterstützung und Betreuung erhalten. Die Julis begründen ihre Initiative vor allem mit der psychischen Belastungen junger Menschen in der Corona-Krise.Die Jungen Liberalen haben dafür einen fünfseitigen Antrag erarbeitet/comma  der watson exklusiv vorliegt. Die Jugendorganisation will erreichen/comma  dass die FDP diese Forderungen in ihr Programm für die Bundestagswahl aufnimmt. Deshalb wollen die Julis nach Angaben einer Sprecherin am FDP-Bundesparteitag am Wochenende einen Antrag stellen/comma  die Maßnahmen ins Wahlprogramm einzubauen.Damit in Deutschland mehr Psychotherapie-Angebote verfügbar sind/comma  fordern die Julis unter anderemeine deutliche Erhöhung der zu vergebenden Kassensitze für PsychotherapeutenPsychotherapie per Videochat unbegrenzt möglich zu machen. Bisher ist sie auf 20 Prozent der Therapiesitzungen begrenzt.zu machen. Bisher ist sie auf 20 Prozent der Therapiesitzungen begrenzt. die Vermittlung von Psychotherapie-Plätzen auch über die Terminservicestellen der Kassenärztlichen Vereinigung (KV) zu ermöglichender Kassenärztlichen Vereinigung (KV) zu ermöglichen den Übergang von Psychologie-Studierenden in eine Psychotherapie-Ausbildung zu erleichternzu erleichtern den Markt für frei werdende Psychotherapie-Kassensitze zu beenden. Heute/comma  beklagen die Julis wie auch etwa die Deutsche Vereinigung für Verhaltenstherapie/comma  zahlen frisch ausgebildete Therapeuten bis zu 100.000 dafür/comma  dass ein in Rente gehender Therapeut sie für seinen frei werdenden Kassensitz empfiehlt.Um Menschen zu unterstützen/comma  die psychotherapeutische oder psychiatrische Hilfe benötigen/comma  fordern die Jungliberalen darüber hinaus:eine Kampagne der Bundeszentrale für gesundheitliche Aufklärung (BZgA) gegen Stigmata und Tabus rund um psychische Erkrankungengegen Stigmata und Tabus rund um psychische Erkrankungen bessere Leitlinien zu Nebenwirkungen von Psychopharmaka/comma  bei denen gerade mögliche Nebenwirkungen für Frauen bessere berücksichtigt werdenbei denen gerade mögliche Nebenwirkungen für Frauen bessere berücksichtigt werden verpflichtende staatliche Kontrollen in psychiatrischen Kliniken/comma  die zweimal pro Jahr stattfinden sollendeutlich mehr Schulpsychologinnen und -psychologen : Zunächst soll ihre Zahl so weit erhöht werden/comma  dass auf 5000 Schüler mindestens ein Schulpsychologe kommt: Zunächst soll ihre Zahl so weit erhöht werden/comma  dass auf 5000 Schüler mindestens ein Schulpsychologe kommt Härtefallregelungen für Schüler/comma  die psychisch erkranken/comma  damit schulischer Druck von ihnen genommen werden kann.""Bei aller berechtigten Sorge um Inzidenzwerte dürfen auch die psychischen Folgen der Corona-Pandemie nicht ausgeblendet werden.""Jens Teutrine/comma  Bundesvorsitzender der Jungen Liberalen/comma  erklärt dazu gegenüber watson:""Die Awareness für Mental Health hat seit Beginn der Corona-Pandemie zugenommen. Das ist gut so/comma  denn besonders viele junge Menschen leiden psychisch sehr unter den Folgen des Lockdowns und der sozialen Isolation.""Die gewachsene Aufmerksamkeit reiche aber nicht aus/comma  ergänzte Teutrine. Er begründet die Forderungen der Jungen Liberalen so:""Wem Mental Health wirklich am Herzen liegt/comma  der muss auch dafür sorgen/comma  dass die Mental Health Care besser wird. Oftmals müssen Betroffene beispielsweise monatelang auf einen Termin beim Psychotherapeuten warten. Ein starkes Gesundheitssystem hat nicht nur ausreichend Hausärzte/comma  sondern braucht auch eine funktioniere Infrastruktur für psychische Gesundheit.""Jens Teutrine/comma  Bundesvorsitzender der Jungen Liberalen. Bild: imago-images.de / RevierfotoBesonders junge Menschen litten an den sozialen Folgen der Corona-Lockdowns. Teutrine fordert mehr Aufmerksamkeit für sie. Wörtlich meint er:""Bei aller berechtigten Sorge um Inzidenzwerte dürfen auch die psychischen Folgen der Corona-Pandemie nicht ausgeblendet werden. Wir werden daher auch im Wahlprogramm unserer Mutterpartei ein klares Bekenntnis für eine bessere Mental Health Care einfordern. Es ist höchste Zeit/comma  dass wir die psychische Gesundheit so ernst nehmen wie die körperliche.""Neben den konkreten Forderungen stehen im Antrag der Jungen Liberalen auch allgemeinere Ziele für eine bessere Versorgung und Betreuung von Betroffenen: unter anderem eine bessere Aus- und Weiterbildung von Mitarbeitern in Justiz und Verwaltung im Umgang mit psychisch Erkrankten und besonders hohe Hürden für eine zwangsweise Unterbringung von Betroffenen. Daneben setzen sich die Julis für ein besseres ""Entlassmanagement"" für den Übergang zwischen ambulanter und stationärer Behandlung ein – und für besseren Schutz psychisch Erkrankter vor Diskriminierung in Schule/comma  Ausbildung und am Arbeitsplatz.",1
Während die Politik in Deutschland den geplanten Abzug von US-Truppen mehrheitlich ablehnt/comma  trifft er in der Bevölkerung überwiegend auf Zustimmung. Nach einer Umfrage des Meinungsforschungsinstituts YouGov im Auftrag der Deutschen Presse-Agentur befürworten 47 Prozent eine Reduzierung der derzeit 36.000 Soldaten.Jeder Vierte meint sogar/comma  die US-Streitkräfte sollten Deutschland ganz verlassen. Dagegen ist noch nicht einmal jeder Dritte (32 Prozent) dafür/comma  dass die amerikanischen Truppen in der bisherigen Stärke bleiben (28 Prozent) oder sogar aufgestockt werden (4 Prozent) sollten. 21 Prozent machten keine Angaben.[Lesen Sie auch den Kommentar zum Thema: Martialische Ansage]US-Verteidigungsminister Mark Esper hatte vergangene Woche angekündigt/comma  knapp 12.000 Soldaten aus Deutschland abziehen zu wollen. 6400 sollen zurück in die USA/comma  etwa 5600 sollen in andere Nato-Staaten in Europa verlegt werden - nach jetzigem Stand vor allem nach Italien und Belgien. Es sind Standorte in Bayern/comma  Baden-Württemberg und Rheinland-Pfalz betroffen.[Wenn Sie alle aktuelle Nachrichten live auf Ihr Handy haben wollen/comma  empfehlen wir Ihnen unsere runderneuerte App/comma  die Sie hier für Apple- und Android-Geräte herunterladen können.]Von den sechs im Bundestag vertretenen Fraktionen lehnen fünf den Truppenabzug ab. Nur die Linke findet ihn gut/comma  will aber/comma  dass alle US-Soldaten das Land verlassen.Begründung von Trump für viele nicht nachvollziehbarBei den Wählern ergibt sich ein anderes Bild. Nur bei den Anhängern der CDU/CSU überwiegen diejenigen/comma  die gegen eine Reduzierung der US-Soldaten sind mit 45 zu 41 Prozent. Bei den Wählern aller anderen Parteien sind die Befürworter eines Abzugs von Truppen - in unterschiedlichem Umfang - in der Mehrheit: Bei der SPD sind es 42 zu 40 Prozent/comma  bei den Grünen 52 zu 35/comma  bei der FDP 52 zu 36/comma  bei der AfD 61 zu 28 und bei der Linken 70 zu 18 Prozent.[Lesen Sie hier/comma  was hinter Trumps Ankündigung eines US-Truppenabzugs aus Deutschland steckt.]Noch klarer ist das Meinungsbild/comma  wenn es um die US-Atombomben in Deutschland geht. Deren Abzug ist zwar nicht geplant. Die SPD-Führung fordert ihn aber und trifft damit beim Koalitionspartner CDU/CSU auf Unmut.Dafür haben die Sozialdemokraten zwei Drittel der Bevölkerung hinter sich. 66 Prozent sind dafür/comma  dass die schätzungsweise 20 auf dem Fliegerhorst Büchel in Rheinland-Pfalz lagernden Bomben verschwinden. Nur 19 Prozent wollen/comma  dass sie dort bleiben. 16 Prozent machen keine Angaben.Bei allem Verständnis für die Truppenreduzierung - die Begründung von US-Präsident Donald Trump dafür kann nur eine Minderheit nachvollziehen. Nur jeder Vierte (25 Prozent) teilt seine Auffassung/comma  dass Deutschland zu wenig für Verteidigung ausgebe. 58 Prozent stimmen nicht zu. Deutschland verfehlt das Nato-Ziel/comma  zwei Prozent seiner Wirtschaftskraft in das Militär zu investieren/comma  trotz steigender Verteidigungsausgaben mit 1/comma 38 Prozent noch deutlich. (dpa),2
Hilse: 6. IPCC-Bericht wird erneut genutzt werden/comma  um Menschen für gesellschaftliche Umwälzungen gefügig zu machenBerlin/comma  8. August 2021. Zur anstehenden Vorstellung des 6. IPCC-Berichtes am 9. August 2021 erklärt der umweltpolitische Sprecher der AfD-Bundestagsfraktion/comma  Karsten Hilse:„Pünktlich/comma  wenige Wochen vor der Bundestagswahl wird am 09.08.2021 der 6. IPCC-Bericht vorgestellt: Ein eindeutiges Indiz dafür/comma  wie viel Einfluss die Bundesregierung auf den selbsternannten Weltklimarat hat. Eine der Leitautoren/comma  Astrid Kiendler-Scharr gibt in ihrem Interview mit Spektrum.de unumwunden zu/comma  dass die Politik den Bericht beauftragt habe und man gemeinsam an der Zusammenfassung arbeite. Wie in einem Theaterstück wird ein Akt nach dem anderen abgespielt und die Dramatik nimmt wie in einem Shakespeare-Drama mit jedem Akt zu. Vor wenigen Wochen veröffentlichte das Bundesverfassungsgericht sein Urteil/comma  von dem nicht wenige Verfassungsrechtler sagen/comma  dass auch dies eine Auftragsarbeit war/comma  dass zumindest bei der Begründung die Regierung den Schreibstift des Vorsitzenden Harbath/comma  der neun Jahre CDU-Bundestagsabgeordneter und Merkelgetreuer war/comma  führte.Nun also erscheint nach mehreren Jahren der 6. IPCC-Bericht und dessen Zusammenfassung wird sich nicht anders lesen/comma  als die Arbeitspapiere/comma  die im deutschen Umweltministerium verschickt werden. Er wird durch unsere Politiker und Leitmedien genutzt werden/comma  um die Menschen in Angst und Panik vor dem drohenden Weltuntergang zu versetzen und sie gesellschaftlichen Umwälzungen gefügig zu machen. Man darf gespannt sein/comma  ob in diesem Bericht auch Wissenschaftler zu Wort kommen/comma  die die Entwicklung unseres Klimas und unseren Einfluss darauf etwas realistischer sehen. Im 3. IPCC-Bericht war zumindest in der Gesamtausgabe auf Seite 774 noch zu lesen: ‚Bei der Erforschung und Modellierung des Klimas sollten wir erkennen/comma  dass wir es mit einem gekoppelten/comma  nichtlinearen/comma  chaotischen System zu tun haben und dass daher langfristige Voraussagen über das künftige Klima nicht möglich sind.‘ In der Zusammenfassung erschien dieser Satz nicht mehr. Seitdem werden kritische Wissenschaftler kaum noch beziehungsweise gar nicht mehr an der Erstellung des Berichtes beteiligt.So wie alle Berichte vorher/comma  wird auch dieser null Einfluss auf die ‚Entwicklungsländer‘/comma  wie beispielsweise China und Indien/comma  die immerhin für 60 Prozent der Gesamtemissionen verantwortlich sind/comma  und deren Wirtschaftspolitik haben. Sie werden/comma  so wie übrigens alle anderen Unterzeichner auch/comma  durch das Pariser Übereinkommen zu nichts verpflichtet. Die Eigenverpflichtungen der EU und des Musterschülers Deutschland sind selbst gewählt. China steigert seine CO2-Emissionen jährlich in dem Maße/comma  wie Deutschland im gesamten Jahr ausstößt. Die größte Schwäche des Pariser Übereinkommens ist nach wie vor/comma  dass kein Temperaturausgangswert genannt wird/comma  von dem aus die Temperatur nicht um 1/comma 5 Grad Celsius steigen soll. Damit ist eine Überprüfbarkeit aller Maßnahmen auf Wirksamkeit ausgeschlossen. Auch der 6. IPCC-Bericht wird diesen Fehler nicht beheben.“,4
Hebner: Brexit-Verhandlungen – Ein Scheitern mit AnsageBerlin/comma  3. Juli 2020. Die Verhandlung der Verträge von Großbritannien und der EU nach dem Brexit stehen vor dem Aus. Der AfD-Bundestagsabgeordnete Martin Hebner/comma  Mitglied im EU-Ausschuss und Berichterstatter der AfD-Fraktion zum Brexit/comma  erklärt dazu:„Von Beginn an war klar/comma  die Briten werden keine weiteren Vorschriften und Regelungen aus Brüssel mehr akzeptieren. Eine zentrale Forderung des Brexits war ‚take back control‘. Das heißt/comma  die Steuerung für die Gesetze und die eigene Wirtschaft von Brüssel nach London zurück zu bekommen.Deshalb war der Verhandlungsansatz von Herrn Barnier/comma  die EU-Vorschriften für Produktion/comma  Entlohnung und Besteuerung müssten auch künftig den Handelsbeziehungen zwischen Großbritannien und der EU zugrunde liegen/comma  zum Scheitern verurteilt.Auch Barnier wusste das/comma  nur hatte er seine Vorgaben aus Brüssel. Und für die Zentrale in Brüssel/comma  die keinesfalls weitere Länder sehen will/comma  die ebenso wie Großbritannien die EU verlassen/comma  darf der Brexit nicht zum Erfolg werden. Also wurde seitens der EU-Kommission auf Abschreckung gesetzt. Die Verhandlungen mussten scheitern.Die Briten setzten auf die Vernunft der Deutschen/comma  denn gerade Deutschland profitiert von den Handelsbeziehungen mit Großbritannien. Ein Plus von circa 30 Milliarden Pfund beziehungsweise Euro in den letzten Jahren – auch ohne/comma  dass GB den Euro hätte – bedeutet/comma  dass bei einem Scheitern der Vertragsverhandlungen gerade die deutsche Wirtschaft leiden würde. Nur wenn es um Rücksichtslosigkeit auch gegen die eigenen Interessen aus dogmatischen Gründen geht/comma  unterschätzen die meisten die deutsche Regierung.Nun wollte man/comma  seitens der EU auf Dauer die EU-Regeln in den Handels- und Wirtschaftsbeziehungen zu Großbritannien festschreiben. Das ‚No‘ aus London war erwartbar/comma  weil angekündigt.Dabei könnten die Verträge zwischen der EU und Kanada als Blaupause genommen werden. Sie sind von der EU ausverhandelt und gültig. Im Wege steht nur der Wille/comma  Großbritannien nicht entgegen zu kommen/comma  und der Dogmatismus der deutschen Regierung.Bei Letzterem kann nur Druck aus der deutschen Wirtschaft helfen. Denn die Folgen des von der Regierung verhängten ‚Shutdown‘ im Zuge von Corona werden allein schon in eine Rezession münden. Da braucht es nicht noch mutwillig herbeigeführte Handelsprobleme mit Großbritannien.Deutschland muss endlich seiner Verantwortung gerecht werden!“,4
Beatrix von Storch: Seehofers neue Migrationspolitik ist völlig unglaubwürdigBerlin/comma  11. Mai 2021. Bundesinnenminister Seehofer ist laut dpa mit den Ergebnissen der Migrations- und Flüchtlingspolitik der Bundesregierung zufrieden/comma  rechnet jedoch mit neuen Problemen: „Es zeichnet sich aber ab/comma  dass die Migrationszahlen wieder deutlich steigen/comma  insbesondere auf der Balkanroute“/comma  erklärte Seehofer gegenüber der dpa. Im Jahr 2020 haben 102 581 Ausländer erstmals einen Asylantrag in Deutschland gestellt.Dazu teilt die stellvertretende Vorsitzende der AfD-Fraktion im Deutschen Bundestag/comma  Beatrix von Storch/comma  mit:„Wenn Seehofer jetzt angeblich neue Maßnahmen gegen ‚irreguläre Migration‘/comma  wie er die illegale Masseneinwanderung nennt/comma  für nötig erachtet/comma  ist das ein billiges Wahlkampfmanöver: Seehofer ist seit 2015 Merkels Erfüllungsgehilfe für die Fortsetzung der illegalen Masseneinwanderung und also einer der Hauptverantwortlichen für den damit verbundenen Verfassungsbruch – als bayerischer Ministerpräsident und später sogar als Bundesinnenminister.Ein paar Monate vor der Bundestagswahl bekommt er jetzt plötzlich Angst vor der AfD/comma  die ‚das 2015 zu ihrem Thema gemacht‘ hat/comma  wie er das in diesem dpa-Wahlkampfinterview so treffend analysiert. Und zu Recht muss er sich Sorgen machen/comma  weil die Glaubwürdigkeit der Union beim so wichtigen Thema wie der illegalen Masseneinwanderung bei null ist. Da helfen auch Seehofers große Sprüche nicht wie ‚Wir müssen etwas tun/comma  damit wir nicht wieder in bedenkliche Größenordnungen kommen‘. Denn Grün-Schwarz steht als Menetekel an der Wand und damit Baerbocks ‚einladende Zuwanderungspolitik‘/comma  der die vergrünte Union nichts entgegensetzen wird. Das wissen die Bürger und werden sich durch Seehofers Wahlpropaganda über eine Begrenzung der Massenmigration auch nicht einlullen lassen.“,4
Bundestagswahl 2021 »Die Leute haben keine Angst vor Rot-Rot-Grün«Im »Spitzengespräch« wirbt Gregor Gysi für ein rot-rot-grünes Bündnis/comma  fordert die Kürzung des Verteidigungshaushalts und sagt/comma  was er über einen möglichen Kanzler Laschet denkt.Der Polittalk mit Markus Feldenkirchen;,2
CDU-Kanzlerkandidat Laschet: Knallharte Lobbypolitik für die Wohlhabenden Imago ImagesImago ImagesWas plant die Union im Bereich Arbeit? Susanne Ferschl hat sich das Wahlprogramm der CDU angeschaut und sagt/comma  dass sich darin Schönfärberei und neoliberale Agenda-Logik die Klinke in die Hand geben. Warum hinter den schönen Floskeln der CDU/CSU tatsächlich Ausbeutung lauert und was DIE LINKE stattdessen fordert/comma  erfahrt ihr hier.BefristungenDie CDU verspricht zwar/comma  dass befristete Arbeitsverhältnisse und die sachgrundlose Befristung die Ausnahmen bleiben sollen/comma  trotzdem waren 2019 zwei von drei Befristungen sachgrundlos. DIE LINKE sagt: Es verstößt gegen jedes Verständnis von guter Arbeit/comma  Arbeitsverträge ohne Vorliegen eines sachlichen Grundes zu befristen. Befristet Beschäftigte sind jederzeit austauschbar/comma  halten im Betrieb öfter die Klappe und wehren sich seltener gegen Ungerechtigkeiten. Das schwächt die betriebliche Mitbestimmung und die Gewerkschaften. Arbeitsverträge mit Verfallsdatum sind ein Disziplinierungsinstrument/comma  mit dem Unternehmen ihre Machtposition sichern. Die Kapitalseite wünscht sich unbegrenzte Flexibilität. Doch das ist mit dem Schutzbedürfnis der Beschäftigten nicht vereinbar. Deshalb will DIE LINKE die Möglichkeit/comma  Arbeitsverträge ohne Sachgrund zu befristen/comma  ersatzlos streichen.LeiharbeitDie CDU will Zeitarbeit erhalten und tut so/comma  als wäre das eine Wohltat für die Beschäftigten: Kurzerhand wird Leiharbeit zu einer „wichtige[n] Brücke zur Arbeit“ verklärt. Dabei ist Leiharbeit moderne Sklaverei auf dem Arbeitsmarkt. Denn was die CDU gern verschweigt: Fast zwei Drittel aller Leiharbeitskräfte in Vollzeit arbeiten unterhalb der Niedriglohnschwelle. Zudem entwertet Leiharbeit die Qualifikationen/comma  denn fast die Hälfte der Leiharbeitskräfte war zuletzt unterhalb ihrer formalen Qualifikation tätig. Leiharbeit ist doppelte Ausbeutung und ein Instrument für Dumpinglöhne. Deswegen will DIE LINKE Leiharbeit langfristig abschaffen.MinijobsDie CDU will „die Minijobgrenze von 450 auf 550 Euro pro Monat erhöhen“/comma  sozialversicherungsfrei natürlich. Dabei hat die Corona-Pandemie klar gezeigt: Nicht der Markt hat uns durch die Krise geholfen/comma  sondern der Sozialstaat. Damit dieser allen ausreichend Schutz bieten/comma  wollen wir ihn ausbauen. Minijobbende waren die ersten/comma  die in der Krise gefeuert wurden/comma  Kurzarbeitergeld gab es für sie nicht. Deshalb wollen wir Minijobs in sozialversicherungspflichtige Beschäftigung umwandeln.Arbeitszeit„Entgrenzung verhindern“/comma  will die CDU. Dazu stellt sie von einer täglichen auf eine wöchentliche Höchstarbeitszeit um. So wird der Weg frei für endlose Arbeitstage. Dabei haben die Beschäftigten im letzten Jahr fast 1/comma 7 Milliarden Überstunden geleistet – mehr als die Hälfte davon unbezahlt. Damit muss Schluss sein! DIE LINKE wendet sich entschieden gegen jede weitere Flexibilisierung: Ausweitungen von Arbeitszeiten und dem Ende des Acht-Stunden-Tages erteilen wir eine Absage. Wir brauchen eine Trendwende und unterstützen deshalb die Gewerkschaften in ihrem Kampf für eine deutliche Arbeitszeitverkürzung in Richtung einer 30-Stunden-Woche mit vollem Lohn- und Personalausgleich.BetriebsräteIn nur neun Prozent der Betriebe/comma  die die Voraussetzung erfüllen/comma  gibt es auch einen Betriebsrat. Und die CDU? Will „unsere Mitbestimmungskultur erhalten“. Na vielen Dank. Wir wollen die Wahl von Betriebsräten erleichtern und deren Arbeitsfähigkeit sichern. Bei Fragen der Arbeitsorganisation/comma  der Personalbemessung/comma  prekären Beschäftigung und der Qualifizierung sollen Betriebsräte mitbestimmen. Die Mitbestimmung bei wirtschaftlichen Fragen ist für DIE LINKE zentral/comma  denn die Transformation der Arbeitswelt vollzieht sich nicht klassenneutral/comma  sondern als Verteilungsauseinandersetzung/comma  untrennbar verbunden mit der Eigentumsfrage.GewerkschaftenDie CDU will die Allgemeinverbindlicherklärung von Tarifverträgen stärken. Das ergibt Sinn/comma  denn nachweislich sind Löhne und Arbeitsbedingungen dort besser/comma  wo Tarifverträge gelten. Man fragt sich nur/comma  was die Union die letzten 16 Jahre davon abgehalten hat? Denn Tarifverträge schützen nur noch für die Hälfte aller Beschäftigten – Tendenz sinkend. DIE LINKE will Arbeitnehmer:innen schützen und tut was gegen die Tarifflucht! Damit Tarifverträge tatsächlich allgemeinverbindlich erklärt werden können/comma  wollen wir die Antragstellung durch nur eine Tarifvertragspartei ermöglichen – sprich/comma  den Arbeitgebern ihr Vetorecht nehmen. Tarifflucht wollen wir erschweren/comma  indem wir OT-Mitgliedschaften im Arbeitgeberverband verbieten.FazitHinter den schönen Floskeln im Wahlprogramm der Union lauert eine knallharte neoliberale Interessenpolitik im Sinne des Kapitals. Ich finde/comma  16 Jahre Lohndumping und Ausbeutung sind mehr als genug. Wir brauchen eine Arbeitsmarktpolitik im Interesse der Beschäftigten. Und diese hat DIE LINKE in ihrem Wahlprogramm so deutlich/comma  wie keine andere Partei.,0
W ie oft kommt das Wort „Frauen“ im Papier zum Konjunkturpaket der Bundesregierung vor? Gar nicht. Das Wort „Geschlechtergerechtigkeit“? Gar nicht. Und das Wort „Care“? Genau: gar nicht.Die Coronakrise ist eine Krise der Geschlechter. Mütter ziehen sich aus dem Arbeitsmarkt zurück/comma  der Gender Pay Gap wird aller Voraussicht nach noch weiter auseinanderklaffen als ohnehin schon/comma  von der Rentenlücke ganz zu schweigen. Unbezahlte Care Arbeit wird noch mehr als zuvor von Frauen übernommen/comma  was wiederum eins zu eins mit schlechteren Chancen auf dem Arbeitsmarkt verknüpft ist. Frauen gehen als Verliererinnen aus der Krise hervor. Und dieses Konjunkturpaket steuert dem nicht aktiv entgegen.Jenseits der Alleinerziehenden/comma  die weit überwiegend weiblich sind/comma  werden Frauen als ökonomische Gruppe nicht adressiert. Zwar kommen einzelne Maßnahmen auch Frauen zugute – nebenbei/comma  nicht offensiv/comma  und als eine Art Abfallprodukt dessen/comma  dass das Paket nun mal für Menschen gemacht wurde/comma  also auch für Frauen. Aber dass Geschlechterpolitik eine Querschnittsaufgabe ist/comma  die ressortübergreifend in jeder Maßnahme mitgedacht werden muss/comma  ist der Bundesregierung ganz offensichtlich gar nicht in den Sinn gekommen.Doch vor wenigen Tagen noch hatte Frauenministerin Franziska Giffey (SPD) in der Bild am Sonntag gefordert/comma  genau dies zu tun: „Die Auswirkungen auf Frauen bei allen Coronamaßnahmen“ zu prüfen und überdies Geschlechtergerechtigkeit in Unternehmen zur Bedingung für die Vergabe von Staatshilfen zu machen – eine für Giffey geradezu radikale Position. Davon übrig geblieben ist nichts.Frauen bleiben unsichtbarDas heißt nicht/comma  dass überhaupt nichts beschlossen wurde/comma  was frauenpolitisch begrüßenswert wäre. Der Entlastungsbetrag für Alleinerziehende zum Beispiel wird zwei Jahre lang verdoppelt. Es gibt 300 Euro Kinderbonus/comma  der nicht auf die Grundsicherung angerechnet wird und der Familien zugute kommt (also durchaus auch Männern). Und einige Branchen/comma  in denen viele Frauen arbeiten/comma  werden ebenfalls unterstützt/comma  zum Beispiel die Reise.Doch die Forderung lautet Gender Budgeting/comma  also geschlechtergerechtes Haushalten/comma  das in diesem Paket ganz idealtypisch hätte berücksichtigt werden können. Und überdies gäbe es steuer- und arbeitsmarktpolitische Maßnahmen/comma  die nicht nur kurz-/comma  sondern auch langfristig darauf hingewirkt hätten/comma  einen Einbruch der Wirtschaft zu verhindern: Das Kurzarbeitergeld erhöhen/comma  um Erwerbstätige mit niedrigem Einkommen/comma  also vielfach Frauen/comma  vor einem Abrutschen in die Armut zu schützen.Höhere Tarife für Branchen/comma  in denen vor allem Frauen beschäftigt sind/comma  zum Beispiel Reinigung/comma  Einzelhandel und Pflege. Statt einer Kaufprämie für Elektroautos eine für Fahrräder/comma  die neben dem Öffentlichen Nahverkehr ein Verkehrsmittel sind/comma  mit dem Frauen verstärkt ihre Wege zurücklegen. Das Rückkehrrecht von Teilzeit in Vollzeit ausbauen/comma  gerade jetzt/comma  da viele Frauen sich in Teilzeit verabschieden oder noch weiter reduzieren. Mehr Anreize für Teilzeitarbeit von Vätern. Mehr Vätermonate in der Kinderbetreuung. Ehegattensplitting abschaffen. Quote/comma  Quote/comma  Quote.Es hätte mit diesem Konjunkturpaket die Chance gegeben/comma  handfesten finanziellen Ausgleich zu schaffen und zudem geschlechterpolitisch Weichen zu stellen/comma  um dem enormen gleichstellungspolitischen Backlash durch die Krise entgegen zu steuern. So bleiben Frauen in dem Paket weitgehend unsichtbar. Und wer nicht gesehen wird/comma  kann kaum profitieren,0
