text,label
In der Außenpolitik gibt es oftmals keine einfachen Antworten. Wir sehen die Spannungsfelder und Widersprüche – und scheuen nicht vor ihnen zurück. Wir folgen unserem Wertekompass und treten entschlossen ein für Freiheit/comma  Demokratie und Frieden. Zugleich erkennen wir/comma  dass wir auch mit Ländern sprechen müssen/comma  deren Weltanschauung wir nicht teilen. Ob Pandemie/comma  Klimakrise oder geopolitische Konflikte – die großen Krisen unserer Zeit machen an Grenzen keinen Halt. Wir müssen auch mit Ländern/comma  die unsere Werte nicht teilen/comma  Formen der internationalen Kooperation suchen/comma  um Lösungen für die großen Krisen unserer Zeit zu erarbeiten.Als Partei stellen wir uns den schwierigen Fragen und liefern Antworten. Wir erkennen/comma  dass unsere Interessen und unsere Werte/comma  also das Streben nach einer freieren und gerechteren Welt/comma  in der Menschenrechte und internationale Abkommen eingehalten werden/comma  keinen Gegensatz darstellen. Im Gegenteil: Sie bedingen sich gegenseitig.Wir machen wertegeleitete/comma  feministische Außenpolitik.Gesellschaften sind friedlicher/comma  sicherer gerechter/comma  resilienter und wirtschaftlich erfolgreicher/comma  wenn Menschen gleichberechtigt am öffentlichen Leben teilhaben können. Frauen und marginalisierte Gruppen sind jedoch oft stärker von Armut/comma  Gewalt/comma  Krieg und den Auswirkungen der Klimakrise betroffen. Gleichzeitig sind sie oft unterrepräsentiert in Politik und Gesellschaft/comma  wenn es darum geht/comma  Lösungen für diese Krisen zu erarbeiten. Wir gehen einen überfälligen Schritt und setzen uns für eine Außenpolitik ein/comma  die die Rechte/comma  Ressourcen und Repräsentanz von Frauen/comma  Mädchen und marginalisierten Gruppen in allen Bereichen weltweit stärkt.Wir setzen uns für eine regelbasierte/comma  internationale Ordnung ein.Der russische Angriffskrieg auf die Ukraine hat gezeigt/comma  dass wir Frieden/comma  Sicherheit und Freiheit stets verteidigen müssen. Wir setzen auf die Stärke des Rechts statt das Recht des Stärkeren und treten ein für eine internationale Ordnung auf Basis des Völkerrechts.Die EU ist der Garant für Frieden.Die Europäische Union ist das erfolgreichste Friedensprojekt der Welt/comma  denn sie hat nicht zuletzt aus den Trümmern von zwei Weltkriegen heraus ehemals verfeindete europäische Staaten nun schon fast 80 Jahre befriedet. Und nicht nur das: Sie bildet unseren Handlungsrahmen und hat immer wieder bewiesen/comma  auch international für Frieden und Freiheit zu wirken. Die umfassende Unterstützung/comma  mit der die EU und ihre Mitgliedstaaten der Ukraine seit Beginn des Angriffskrieges zur Seite stehen/comma  zeigt ihre Handlungsfähigkeit. Auch darüber hinaus ist sie eine wirkmächtige Akteurin/comma  die in einer globalisierten/comma  multipolaren Welt die Gestaltungskraft besitzt/comma  um sich für unsere gemeinsamen Werte einzusetzen.Dafür setzen wir uns ein;,1
„Die Unternehmen in den Gebieten/comma  die Mitte Juli so brutal vom Hochwasser getroffen wurden/comma  brauchen Zeit und Luft zum Atmen. Dafür sorgen wir zum einen mit dem umfangreichen Hilfspaket/comma  das den geschädigten Unternehmen wie auch Privatleuten zugutekommt und Hilfen in einem Volumen von 30 Milliarden Euro ermöglicht. Wir setzen für die hochwassergeschädigten Unternehmen auch bis Ende Januar 2022 die Pflicht aus/comma  einen Insolvenzantrag zu stellen. Und falls nötig/comma  kann diese Frist danach bis Ende April verlängert werden. Damit unterstützen wir als CDU/CSU-Bundestagsfraktion einen Vorstoß von Ministerpräsident Armin Laschet. Ziel ist: Die Unternehmen sollen in Ruhe erst einmal ihre zum Teil von der Flut zerstörten Unterlagen rekonstruieren und sich um Hilfsanträge und die Bewältigung der schlimmsten akuten Schwierigkeiten kümmern können. Wer Haus und Hof verloren hat/comma  soll auf diese Weise zunächst einmal Entlastung bekommen. Darüber hinaus bin ich zuversichtlich/comma  dass die Hilfsgelder dann über die Länder auch zügig bei den Geschädigten ankommen. Mit dem heute verabschiedeten Gesetzespaket zeigen wir klar/comma  dass wir die Menschen/comma  die Mitte Juli durch die Flut ihre Heimat verloren haben/comma  in dieser Stunde der Not nicht allein lassen.“,3
Geheimdienste und Polizeibehörden mehrerer Länder hätten demnach eine Cyberwaffe des israelischen Unternehmens NSO Group missbraucht/comma  um damit die Mobiltelefone von Journalisten und Menschenrechtsaktivisten anzugreifen.In Deutschland waren »SZ«/comma  NDR/comma  WDR und »Zeit« an den Recherchen beteiligt/comma  15 weitere Redaktionen aus zehn Ländern veröffentlichen die Recherchen ebenfalls. Die Journalistinnen und Journalisten konnten nach eigenen Angaben ein Datenleak mit mehr als 50.000 Telefonnummern auswerten/comma  die mutmaßlich von NSO-Kunden als Ziele möglicher Überwachung ausgewählt worden seien.,2
"Als eine „Brücke der Hoffnung“ beschrieb Johann Wadephul in der Bundestagsdebatte über den Bundeswehreinsatz zur Evakuierung aus Afghanistan die gegenwärtige Luftbrücke von Kabul nach Taschkent. Die Leistung der Soldatinnen und Soldaten sei enorm: „Sie haben geschworen/comma  tapfer zu dienen. Das haben Sie erfüllt“/comma  sagte Wadephul unter dem Applaus vieler Parlamentarier.Verweigerung der Linksfraktion unverantwortlichAngesichts der Rettung von mehreren tausend Menschen/comma  die von der Bundeswehr aus Kabul ausgeflogen werden/comma  sei es unverantwortlich/comma  so Wadephul/comma  dass die Linkspartei dem Mandat ihre Zustimmung verweigern wolle. Auch zeige sich gerade in diesen schwierigen Momenten/comma  von welcher großen Bedeutung eine zeitgemäße Ausstattung der Bundeswehr sei:„Wir dürfen uns nicht wegducken/comma  wenn es beispielsweise um die Ausstattung mit Drohnen geht. Unsere Soldatinnen und Soldaten haben Anspruch auf die beste Ausrüstung.“Zugleich zeigten die dramatischen Ereignisse/comma  dass Europa seine Handlungsunfähigkeit überwinden müsse. Dass die gegenwärtige Operation in Kabul nur durch die Führung der Vereinigten Staaten möglich sei/comma  müsse Europa zu denken geben.Fraktionsvize @JoWadephul kontert #Gauland in der heutigen #Afghanistan-Debatte: ""Das ist ungeheuerlich. Jeder Einsatz von Soldatinnen & Soldaten/comma  die Frauen & Mädchen ein menschenwürdiges Leben in Afghanistan ermöglicht haben/comma  war richtig/comma  war notwendig & dahinter stehen wir."" pic.twitter.com/kNc3oux6oq — CDU/CSU (@cducsubt) August 25/comma  2021Ähnlich argumentierte auch Henning Otte. Der verteidigungspolitische Sprecher der Unionsfraktion warf denjenigen/comma  die dem Mandat ihre Zustimmung verweigerten/comma  Doppelmoral vor. „Gerade in dieser Krise zeigt sich/comma  wie wichtig eine vernünftige Ausrüstung und Einsatzbereitschaft ist.“ Um für Frieden und Freiheit einzutreten/comma  sei in Zukunft aber eine besser abgestimmte europäische Sicherheitspolitik unerlässlich. Und mit Blick auf den 20-jährigen Einsatz fügte Otte hinzu:„Die Zerschlagung von Al Qaida und den Terrorbanden war die Kernaufgabe/comma  und diese Aufgabe wurde erfolgreich geleistet.“Gleichwohl liege auch ein großer Schatten über diesem Einsatz. Das Versagen der afghanischen Regierung und der afghanischen Armee sei erschütternd.Wir haben uns stets für eine Verbesserung der Ausrüstung der BW eingesetzt. Jetzt zeigt sich/comma  dass es richtig war/comma  an Systemen wie dem A400M festzuhalten. Ebenso wichtig ist es/comma  dass wir schnell eine bewaffnete Drohne zur Verbesserung des Schutzes beschaffen #miltwitterpic.twitter.com/Bn6HBdszAD — Henning Otte (@vtdgsprecher) August 25/comma  2021Auch Jürgen Hardt verwies auf die besonderen Umstände des plötzlichen und völligen Zusammenbruchs der afghanischen Armee. So hält es der außenpolitische Sprecher der Unionsfraktion für schwierig/comma  die Verantwortung für die Fehleinschätzung allein beim Bundesnachrichtendienst (BND) abzuladen/comma  zumal auch sämtliche anderen Nachrichtendienste von dieser Entwicklung überrascht worden seien. Zu einer vollumfänglichen Aufklärung gehöre für ihn daher auch die Frage/comma  ob es im Vorfeld des Zusammenbruchs geheime Absprachen zwischen der geflohenen Regierung und den Taliban gegeben hatte.Es geht um die Rettung von MenschenlebenReinhard Brandl/comma  CSU-Abgeordneter und Mitglied im Verteidigungsausschuss/comma  gab zu bedenken/comma  dass bei der Bewertung des Einsatzes bedacht werde müsse/comma  dass einer ganzen Generation die Chance auf ein freieres Leben gegeben wurde.„In dieser Zeit ging von Afghanistan keine terroristische Bedrohung aus/comma  und die Menschen lebten in einer freieren Gesellschaft.“Als Vorsitzender des Auswärtigen Ausschusses erinnerte Norbert Röttgen daran/comma  dass es die Bundeswehr und die NATO gewesen seien/comma  die für die Afghanen den entscheidenden Unterschied gemacht hätten: „Ihre Anwesenheit bedeutete die Abwesenheit der Schreckensherrschaft der Taliban.“ Angesichts der Entscheidung der USA/comma  sich vom Hindukusch zurückzuziehen/comma  würden sich für Europa schwierige Fragen stellen: Wie lange noch solle es diese ‚europäische Ohnmacht‘ geben/comma  wenn es um den Schutz der eigenen Werte und der eigenen Interessen gehe? „Was wir brauchen/comma  sind besser ausgestattete militärische Fähigkeiten“/comma  so Röttgen. Europa müsse in die Lage versetzt werden/comma  das/comma  was außenpolitisch für richtig erachtet wird/comma  auch durchzusetzen.",3
Werde Lobbyist*in für soziale Gerechtigkeit und Frieden!Die Linke nimmt keine Spenden von Konzernen an – als einzige Partei im Bundestag. Umso wichtiger ist Deine Spende/comma  damit wir stark sein können für eine gerechte und friedliche Politik. Egal ob 5 Euro/comma  25 Euro oder mehr/comma  Deine Spende zählt!Wusstest Du/comma  dass Du bis zu 50 Prozent Deiner Spende über die Steuererklärung wieder bekommst? Mehr Infos;,0
In einem erstmals erstellten Lagebild zu Rechtsextremisten in den deutschen Sicherheitsbehörden hat das Bundesamt für Verfassungsschutz (BfV) nach einem Bericht der Welt am Sonntag mehr als 350 Verdachtsfälle zusammengetragen. Der etwa 100 Seiten umfassende vertrauliche Bericht behandele Vorfälle aus dem Zeitraum von Anfang Januar 2017 bis Ende März 2020/comma  meldet die Zeitung. Das Lagebild solle im Oktober offiziell vorgelegt werden.Neben dem Bundesnachrichtendienst/comma  dem Militärischen Abschirmdienst/comma  dem Bundeskriminalamt und der Bundespolizei betreffe das Lagebild demnach auch Fälle aus den 16 Länderpolizeien und den Verfassungsschutzämtern. Die Zusammenstellung beruht dem Bericht zufolge auf Meldungen der einzelnen Behörden an das Bundesamt für Verfassungsschutz.Laut der Zeitung fehlen in dem Papier jedoch Vorfälle wie die Drohmails unter dem Namen NSU 2.0/comma  für die mutmaßlich Adressdaten aus Polizeicomputer abgerufen wurden/comma  rechtsextreme Chats von Polizisten in Mecklenburg-Vorpommern sowie die jüngst bekannt gewordenen rassistischen Chatnachrichten von Polizisten aus dem nordrhein-westfälischen Mülheim.NRW-Innenminister Herbert Reul (CDU) hat vergangene Woche in einem Bericht an den Düsseldorfer Landtag mitgeteilt/comma  allein bei der nordrhein-westfälischen Polizei seien seit 2017 insgesamt 100 Mitarbeiter unter den Verdacht des Rassismus oder Rechtsextremismus geraten. Hinzu kämen vier Fälle im Landesinnenministerium.,2
Berlin. Die FDP-Bundes­tags­fraktion fordert ein Ende der epidemischen Lage von nationaler Trag­weite. Der Parlamentarische Geschäfts­führer Marco Busch­mann sagte dem Redaktions­Netz­werk Deutsch­land (RND): „Deutsch­land muss zurück in den rechtlichen Normal­zustand und damit raus aus der epidemischen Lage von nationaler Trag­weite.“ Das gebiete das Rechts­staats- und Demo­kratie­prinzip/comma  so der FDP-Politiker.„Daher wird eine zentrale Gesetzes­initiative der nächsten Legislatur­periode sein/comma  ein entsprechendes Ausstiegs­gesetz vorzubereiten. Es muss das chaotische Knäuel der Corona-Regelungen neu regeln“/comma  erklärte Busch­mann. „Den Akteuren im Gesund­heits­wesen muss es finanzielle Sicherheit für die Corona-Lasten gewähren. Den Bürgern muss es garantieren/comma  dass die Sonder­rechte zugunsten der Regierung und zulasten der Volks­vertretung enden.“Busch­mann sagte dem RND: „Vor allen aber müssen die tiefgreifenden/comma  pauschalen und unbestimmten Eingriffs­ermäch­tigungen in die Grund­rechte der Menschen enden. Wir besitzen heute genug Wissen über Corona/comma  um sinn­volle Maß­nahmen in rechts­staatlich saubere Regeln zu gießen. Ein solches Gesetz zur Aufhebung der epidemischen Lage ist für unsere Identität als frei­heit­licher Rechts­staat zentral/comma  deshalb wird es ein fundamentales Anliegen der Freien Demokraten bleiben. Das sollte jeder wissen.“Epidemische Lage gilt vorerst bis Ende NovemberDie epidemische Lage von nationaler Trag­weite muss vom Bundes­tag beschlossen werden und gilt immer für drei Monate. Ohne erneute Bestätigung des Parlaments läuft sie aus. Das letzte Mal wurde Ende August darüber abgestimmt. Die Sonder­lage gilt damit vorerst bis Ende November.Auf der festgestellten Lage basieren unter anderem Länder­verord­nungen zu Maß­nahmen wie Masken­pflicht oder Kontakt­beschrän­kungen. Der Bund kann zudem bestimmte Verordnungen wie zur Impf­stoff­beschaffung ohne Zustimmung des Bundes­rats erlassen.,2
Die von Bundesgesundheitsminister Jens Spahn (CDU) ausgerufene Aktionswoche hat ihr Ziel verfehlt/comma  die stockende Covid-19-Impfkampagne in Deutschland neu zu beleben.Zwar erhöhte sich laut Daten des Robert Koch-Instituts (RKI) die Zahl der Impfvorgänge in der abgelaufenen Woche leicht gegenüber der Vorwoche: von 1/comma 29 auf 1/comma 36 Millionen Dosen. Aber dies lag vor allem an deutlich mehr Auffrischungsimpfungen.,1
"Die Staatsanwaltschaft hat nach der Explosion in einer Leverkusener Müllverbrennungsanlage ein Ermittlungsverfahren wegen des Verdachts auf fahrlässige Tötung eingeleitet. Zudem werde wegen fahrlässigen Herbeiführens einer Sprengstoffexplosion ermittelt/comma  teilte die Behörde am Mittwoch mit. Der Vorwurf richte sich gegen unbekannt. Ein Sprecher sagte/comma  es gehe darum/comma  zu prüfen/comma  ob menschliches Fehlversagen zu der Detonation geführt haben könnte. Bei der Kölner Polizei wurde dafür auch eine Ermittlungsgruppe eingerichtet.Nach Angaben der Ermittler ist das Betreten des Areals ""weiterhin nur stark eingeschränkt möglich"". Um sich einen Überblick zu verschaffen/comma  würden Drohnen eingesetzt. Mehrere Sachverständige unterstützten die Ermittlungen. ""Der Einsatz von Feuerwehr und Polizei am Brandort wird aller Voraussicht nach noch mehrere Tage andauern""/comma  hieß es.Das nordrhein-westfälische Landesumweltamt (LANUV) geht von ""Dioxin/comma - PCB- und Furanverbindungen"" aus/comma  die über die Rauchwolke in umliegende Wohngebiete getragen wurden. Nach Informationen des Amtes hätten in den betroffenen Tanks unter anderem auch chlorierte Lösungsmittel gelagert/comma  teilte ein Sprecher am Mittwoch mit. Das sei der Ursprung der Giftstoffe.Einen Tag nach der Explosion rechnen die Betreiber nun mit sieben Toten. Zwei wurden am Dienstag bereits gefunden/comma  bei den fünf Vermissten gebe es ""keine Hoffnung/comma  dass wir die lebend finden werden""/comma  sagte der Vorstandschef von Currenta/comma  Frank Hyldmar/comma  am Mittwoch. Dabei handele es sich um vier Mitarbeiter seines Unternehmens und um einen Beschäftigten einer externen Firma. Zudem seien 31 Menschen verletzt worden - aber keine Personen außerhalb des Betriebsbereichs der Müllverbrennung.Unklar ist bislang/comma  in welcher Konzentration die Giftstoffe nach der Explosion in die Luft gelangt sind. Dies wird dem Umweltamt zufolge noch in einem Dioxinlabor untersucht. ""Diese Untersuchungen sind recht aufwendig/comma  daher werden die Ergebnisse nicht vor Ende dieser Woche vorliegen.""Die Frage nach der Konzentration ist entscheidend. ""Dioxin/comma - PCB- und Furanverbindungen werden durchaus in Zusammenhang gebracht mit Missbildungen bei Neugeborenen von Tieren/comma  weniger beim Menschen/comma  als Umweltöstrogene oder auch Krebs erregende Substanzen beim Menschen""/comma  sagte Daniel Dietrich/comma  Leiter der Arbeitsgruppe Human- und Umwelttoxikologie an der Universität Konstanz/comma  der Deutschen Presse-Agentur. ""Aber - und das ist das große Aber - nur in hohen Konzentrationen. Und die liegen nicht vor/comma  wenn das entsprechende Gebiet im Laufe der Zeit gereinigt und dekontaminiert wird.""Die Stoffe klebten an Oberflächen/comma  sagte er. ""Sie springen einen nicht an/comma  man müsste sie schon aktiv in den Körper transportieren - etwa/comma  wenn man sich nach der Arbeit im Garten die Hände abschleckt."" Selbst wenn man von oben bis unten mit den Partikeln bedeckt wäre/comma  könnte man diese ohne Gefahr mit Seife abwaschen. ""Nach meiner Einschätzung besteht also keine akute Gefahr für die Bevölkerung/comma  wenn sie sich an die Handlungsempfehlungen des Landesumweltamtes und der anderen involvierten Behörden hält""/comma  sagte Dietrich.Die Explosion hatte sich am Dienstagmorgen in einer Müllverbrennungsanlage des von Currenta betriebenen Chemparks in Leverkusen ereignet. Nach der Detonation brannte ein Tanklager. Es sei noch zu früh/comma  um etwas zur Unglücksursache sagen zu können/comma  erklärte Hyldmar.Die Stadt Leverkusen hält ihre Bürger wegen niedergegangener Rußpartikel weiterhin zur Vorsicht an. Die Empfehlungen vom Vortag seien nach wie vor aktuell/comma  sagte eine Sprecherin am Mittwoch. An Orten/comma  an denen nach dem Unglück Ruß niederging/comma  sollen Leverkusener demnach vorsorglich kein Obst oder Gemüse aus dem Garten essen. Auch betroffene Gartenmöbel oder Pools seien besser zu meiden. Wer dringend im Garten arbeiten müsse/comma  sollte dabei vorsorglich Handschuhe tragen. ""Bitte keinen Ruß mit in die Wohnung tragen/comma  das heißt: die Schuhe ausziehen und vor der Haustür lassen""/comma  hieß es in dem Aufruf der Stadt.Nach Angaben der Stadt waren nach der Detonation und der anschließenden Rauchwolke ""cent- bis eurogroße Partikel"" mit einer öligen Konsistenz registriert worden - vor allem im nahen Stadtteil Bürrig. Das Landesumweltamt habe die Niederschläge begutachtet/comma  abschließende Ergebnisse seien allerdings nicht vor Donnerstag zu erwarten. Daher bleiben auch weiterhin die Spielplätze in den - nahe am Explosionsort gelegenen - Stadtteilen Bürrig und Opladen gesperrt/comma  wie die Stadtsprecherin sagte. Fenster könnten aber wieder geöffnet werden. Die Warnung sei aufgehoben.",1
Jetzt macht er ErnstFriedrich Merz soll Laschet im Wahlkampf-Endspurt zur Kanzlerschaft verhelfenCDU-Kanzlerkandidat Armin Laschet will am Freitag ein achtköpfiges Team für den Endspurt des Wahlkampfes benennen: Dazu sollen vier Frauen und vier Männer gehören.► Wie das Nachrichtenportal „Pioneer“ und die Nachrichtenagentur Reuters berichten/comma  sollen CDU-Vize Silvia Breher aus Niedersachsen ebenso wie der Wirtschaftsexperte Friedrich Merz zu dem Team gehören.Juristin und Mutter von drei Kindern: CDU-Vize Silvia Breher► Mit Digital-Staatsministerin Dorothee Bär ist auch eine CSU-Politikerin vertreten.Digital-Staatsministerin Dorothee Bär (CSU)► Zudem gehören die schleswig-holsteinische Kultusministerin Karin Prien und die sächsische Kultusministerin Barbara Klepsch zu dem Team.Die schleswig-holsteinische Kultusministerin Karin PrienDie sächsische Kultusministerin Barbara Klepsch► Neben Merz werden auch der aus Baden-Württemberg stammende CDU/CSU-Fraktionsvize Andreas Jung/comma  der Berliner CDU-Bundestagsabgeordnete Joe Chialo und der Sicherheitsexperte Peter Neumann vom King's College in London zu der Gruppe gehören.Die CDU wollte die Personalien auf Anfrage nicht bestätigen/comma  sondern verwies auf die Präsentation am Freitag. Neumann bestätigte dagegen seine Berufung am Donnerstag auf Twitter.Innerparteilicher Druck auf LaschetLaschet hatte mehrfach in den vergangenen Wochen gesagt/comma  dass er kein Schattenkabinett aufstellen wolle. Er hatte allerdings ein Team angekündigt/comma  von dem lange nur Merz als Mitglied bekannt war.Merz nennt Merkel-Pläne „lebensfremd“Hat Merkel den Kontakt zum Land verloren? 01:07Zuletzt war angesichts der schlechten persönlichen Umfragewerte des Unionskanzlerkandidaten der innerparteiliche Druck gewachsen/comma  dass Laschet sich mit einem Team präsentieren soll/comma  um die Breite der Union deutlich zu machen.► Grünen-Fraktionschef Anton Hofreiter (51) kritisiert in der „Rheinischen Post“/comma  Laschet verfalle kurz vor der Wahl „in hilflosen Aktionismus“.Mit Blick auf Merz sagt Hofreiter/comma  dieser stehe „für Rückschritt und eine Wirtschaftspolitik des vergangenen Jahrhunderts“.,1
